Annual summary output from Biome-BGC version 4.2
ann PRCP = annual total precipitation (mm/yr)
ann Tavg = annual average air temperature (deg C)
max LAI = annual maximum value of projected leaf area index (m2/m2)
ann ET = annual total evapotranspiration (mm/yr)
ann OF = annual total outflow (mm/yr)
ann NPP = annual total net primary production (gC/m2/yr)
ann NPB = annual total net biome production (gC/m2/yr)

  year  ann PRCP  ann Tavg   max LAI    ann ET    ann OF   ann NPP   ann NBP
  1950     587.3       4.2       1.6     398.0     387.4     204.0      -1.5
  1951     661.4       3.6       1.7     408.2     158.3     183.4     -23.9
  1952     329.4       3.9       1.8     348.5     161.1     112.2     -67.7
  1953     589.1       4.9       1.8     418.9     109.3     214.8      -2.2
  1954     315.9       4.9       1.8     371.2      30.2     160.5     -27.3
  1955     458.3       3.2       1.7     370.3       0.0     181.7      -5.9
  1956     493.6       4.3       1.8     463.2      26.4     286.3      34.7
  1957     633.7       4.1       1.9     405.0     219.4     242.9       9.1
  1958     597.1       5.4       2.1     467.4     162.7     342.9      92.4
  1959     500.5       4.6       2.3     486.9      34.3     329.5      95.9
  1960     478.1       4.8       2.5     425.9      70.6     278.9      57.1
  1961     404.5       5.0       2.5     354.6       0.0     147.0     -60.2
  1962     475.9       4.7       2.5     443.8      69.9     287.0      46.9
  1963     636.7       4.7       2.5     481.5     143.4     366.0     117.2
  1964     710.4       3.5       2.7     568.1      20.3     370.2     135.3
  1965     503.7       4.7       2.8     430.8     233.9     261.4      30.3
  1966     322.3       5.5       2.8     314.5       0.0      89.0     -98.0
  1967     900.6       5.2       2.7     560.5     187.0     388.1     118.2
  1968     802.4       4.6       2.8     590.2     234.7     459.5     201.5
  1969     660.9       5.0       3.0     477.9     286.0     225.5      -0.7
  1970    1242.3       4.0       3.1     695.4     480.2     515.6     215.4
  1971     536.9       3.5       3.2     372.3     114.7     113.1     -84.1
  1972     497.8       3.7       3.1     401.6     186.6     185.6     -31.6
  1973     444.7       4.8       2.8     341.3       0.0     116.2     -97.2
  1974     357.1       3.9       2.5     336.0     126.2     147.0     -78.7
  1975     511.2       3.0       2.1     362.7     110.7     161.8     -54.2
  1976     505.3       4.5       1.9     504.6     129.9     408.6     185.5
  1977     524.5       3.8       1.9     298.8       0.0     139.6     -16.1
  1978     543.6       4.0       1.9     434.5     285.5     293.0      67.0
  1979     463.9       4.2       1.9     378.0       0.0     187.8      -9.2
  1980     513.0       9.9       2.1     524.8      59.4     271.5      26.5
  1981     501.0      10.5       2.1     425.5       0.0     186.2     -17.3
  1982     538.0       8.8       2.2     483.3      90.7     225.7     -10.3
  1983     682.0      10.1       2.3     575.2      43.3     298.5      44.8
  1984     460.0       8.6       2.3     495.4      55.9     199.2     -40.6
  1985     338.0       7.6       2.2     358.0       0.0     127.3     -63.1
  1986     416.0      10.4       2.2     477.2       0.0     256.0      33.6
  1987     283.0      10.7       2.0     254.1       0.0      23.1    -147.3
  1988     345.0      10.3       1.8     283.4       0.0      54.7    -135.4
  1989     318.0       9.4       1.6     396.8       0.0     239.5       8.9
  1990     363.0      10.0       1.5     357.0       0.0     166.1     -12.6
  1991     353.0       9.7       1.4     322.6       0.0     120.1     -53.2
  1992     272.0      10.8       1.3     247.3       0.0      67.4    -110.3
  1993     407.0       8.5       1.3     428.7      31.0     259.5      22.1
  1994     342.0      10.5       1.2     266.7       0.0      57.6    -122.6
  1995     475.0      10.1       1.3     463.7      15.2     293.2      42.8
  1996     541.0       9.9       1.5     441.0      23.2     252.5       8.8
  1997     352.0      10.0       1.7     423.5      83.4     221.1      17.5
  1998     539.0      10.5       1.9     498.9       0.0     230.8      46.0
  1999     284.0      10.1       1.9     317.1       0.0      99.9     -81.4
  2000     401.0      10.3       1.9     370.1       0.0     141.5     -49.3
  2001     283.0      10.3       1.8     260.8       0.0      52.0    -126.2
  2002     238.0       9.8       1.6     241.3       0.0      81.2     -96.0
  2003     474.0      11.3       1.4     432.2       0.0     240.4      -0.9
  2004     464.7       5.1       1.5     455.1      77.4     310.5      78.9
  2005     828.5       5.7       1.7     497.2      42.2     308.0      95.0
  2006     670.2       5.9       1.9     390.7     293.3     195.4      -9.2
  2007     801.2       6.0       2.0     482.1     318.8     264.3      39.8
  2008     719.2       6.2       2.2     536.5     208.2     310.9      81.4
  2009     788.7       6.4       2.4     530.0     276.3     273.2      37.6
  2010     764.5       6.5       2.6     544.3     214.2     290.1      48.3
  2011     768.9       6.7       2.7     584.7     189.9     323.1      74.1
  2012     759.2       6.9       2.8     592.0     210.2     290.0      48.5
  2013     724.1       7.0       2.9     493.4     185.7     249.2       6.2
  2014     737.1       7.2       2.9     554.9     215.3     300.1      62.1
  2015     729.4       7.4       2.9     548.7     175.2     330.6      90.4
  2016     717.4       7.5       3.0     595.9     155.7     354.2     103.0
  2017     694.7       7.7       3.0     580.3     128.3     309.4      53.4
  2018     661.1       7.9       3.1     529.9     125.9     320.1      68.2
  2019     689.3       8.0       3.1     610.3     127.1     362.1     113.6
  2020     581.1      10.8       3.1     601.9      64.8     320.7      75.6
  2021     586.5      11.5       3.0     500.7       0.0     235.2      14.0
  2022     606.4       9.8       2.9     550.5      97.9     266.8       6.6
  2023     778.7      11.0       2.9     657.4      33.3     375.9      93.1
  2024     532.9       9.5       2.9     555.0      89.3     274.4      15.4
  2025     391.2       8.6       2.7     407.2       0.0     201.5     -12.9
  2026     473.3      11.4       2.7     536.0      16.3     331.5      89.2
  2027     322.5      11.6       2.6     288.0       0.0      34.2    -151.4
  2028     393.4      11.3       2.4     317.4       0.0      87.2    -121.7
  2029     355.1      10.4       2.1     434.0      21.8     334.6      88.9
  2030     415.4      11.0       2.0     398.2       0.0     262.3      68.2
  2031     397.3      10.7       2.0     369.7       0.0     182.5      -8.8
  2032     322.4      11.7       1.9     288.0       0.0      93.5    -103.9
  2033     454.7       9.5       1.9     474.4      46.2     349.2     102.6
  2034     393.6      11.5       1.8     299.6       0.0      71.8    -123.7
  2035     537.6      11.1       2.0     546.7       6.4     408.7     145.9
  2036     623.5      10.9       2.2     518.7      28.3     337.6      83.5
  2037     377.3      11.0       2.3     466.4      73.3     289.3      72.7
  2038     611.6      11.5       2.5     563.3       0.0     297.0     100.9
  2039     321.2      11.1       2.5     364.2       0.0     129.8     -74.3
  2040     330.9      10.1       2.4     317.3       0.0     154.3     -52.9
  2041     340.6      10.1       2.3     340.7       0.0     201.5     -11.4
  2042     342.2      10.1       2.1     341.1       0.0     149.3     -63.2
  2043     359.5      10.1       2.0     347.2       0.0     235.0      17.6
  2044     362.8      10.1       2.0     374.5       0.0     198.7      -9.4
  2045     379.8      10.1       1.9     374.1       0.0     233.4      23.9
  2046     389.1      10.1       1.9     392.6       0.0     190.9     -17.3
  2047     398.6      10.1       1.9     400.5       0.0     267.3      57.6
  2048     409.1      10.1       1.9     406.7       0.0     210.8       3.4
  2049     412.3      10.1       2.0     403.5       0.0     227.3      17.3
  2050     427.7      10.0       2.0     424.5       0.0     229.3       4.8
  2051     402.1      10.0       2.1     406.1       0.0     268.5      53.3
  2052     438.2      10.0       2.2     432.2       0.0     303.3      89.9
  2053     455.7      10.0       2.4     449.2       0.0     282.2      68.0
  2054     431.8      10.0       2.5     436.7      15.7     265.9      43.4
  2055     474.8      10.0       2.5     461.2       0.0     268.8      55.5
  2056     412.7      10.0       2.5     407.5       0.0     271.4      49.5
  2057     454.8      10.0       2.6     447.0       0.0     223.7     -10.9
  2058     454.8      10.0       2.6     457.7       2.9     315.5      74.8
  2059     512.5      10.0       2.6     509.1       1.0     378.3     135.1
  2060     474.1      10.0       2.8     471.8       0.0     250.8      14.1
  2061     535.4       9.9       2.8     514.5      17.0     343.8     107.6
  2062     543.6       9.9       2.9     537.4      10.5     345.0     101.7
  2063     496.8       9.9       3.0     485.8       1.0     238.5      -2.3
  2064     560.3       9.9       3.0     553.5      12.6     363.0     115.3
  2065     572.5       9.9       3.1     549.0       9.6     354.7      96.6
  2066     579.9       9.9       3.2     563.2      26.1     432.9     180.1
  2067     585.0       9.9       3.3     582.4       1.9     363.7     107.1
  2068     581.8       9.9       3.4     552.4      12.9     377.4     108.2
  2069     611.8       9.9       3.5     596.4      35.0     404.4     138.2
  2070     622.0      12.8       3.6     624.5       0.0     343.5      70.1
  2071     623.0      13.4       3.6     548.2       0.0     239.3     -15.7
  2072     654.1      11.7       3.4     612.5      77.7     295.7      -1.4
  2073     829.1      13.0       3.4     741.7       7.9     431.0     101.3
  2074     562.6      11.5       3.3     593.7      66.5     316.8      24.7
  2075     414.6      10.5       3.2     423.4       0.0     231.5     -13.9
  2076     519.8      13.4       3.2     587.3      14.6     413.5     126.4
  2077     342.6      13.6       3.0     318.9       0.0      24.8    -192.5
  2078     433.3      13.3       2.8     344.3       0.0     118.2    -122.8
  2079     382.2      12.3       2.5     462.8      27.4     423.8     138.9
  2080     445.9      12.9       2.5     423.7       0.0     283.6      63.2
  2081     429.4      12.6       2.4     407.7       0.0     244.6      15.7
  2082     335.7      13.7       2.3     297.0       0.0      83.8    -145.3
  2083     483.9      11.4       2.3     498.7      52.8     419.6     136.4
  2084     428.0      13.5       2.2     328.7       0.0     109.6    -120.0
  2085     573.0      13.0       2.3     586.6       8.3     470.1     169.0
  2086     671.5      12.8       2.6     591.5       6.5     401.4     115.8
  2087     401.1      13.0       2.7     494.8      64.4     291.1      42.5
  2088     644.0      13.4       2.9     595.3       0.0     341.4     113.5
  2089     346.7      13.1       2.9     391.5       0.0     148.4     -86.3
