Annual summary output from Biome-BGC version 4.2
ann PRCP = annual total precipitation (mm/yr)
ann Tavg = annual average air temperature (deg C)
max LAI = annual maximum value of projected leaf area index (m2/m2)
ann ET = annual total evapotranspiration (mm/yr)
ann OF = annual total outflow (mm/yr)
ann NPP = annual total net primary production (gC/m2/yr)
ann NPB = annual total net biome production (gC/m2/yr)

  year  ann PRCP  ann Tavg   max LAI    ann ET    ann OF   ann NPP   ann NBP
  1950    1920.2       0.8       5.5     925.4     570.2     709.4     -23.8
  1951    1623.4       0.2       6.0    1031.6     938.1     928.3      80.7
  1952     665.3       2.8       6.3     674.7     251.6     512.3    -110.8
  1953    1363.4       3.6       6.4     951.8     359.2     541.2    -136.4
  1954    1576.0       2.0       6.4    1051.0     531.5     975.5     238.0
  1955    1116.8       1.2       6.5     796.0     124.9     494.9    -135.0
  1956    1201.8       1.3       6.5     887.9     281.5     750.2     114.8
  1957     903.5       1.8       6.5     812.5     243.5     683.2      65.4
  1958    1055.7       3.2       6.5     887.3     117.1     598.0     -32.3
  1959    1077.8       1.9       6.4     872.1     222.1     688.1      28.0
  1960     832.8       2.5       6.2     680.2     235.1     515.4    -137.9
  1961    1122.8       3.0       6.0     777.5     222.2     528.4    -146.7
  1962     985.0       1.8       5.8     727.0     271.0     670.4      26.9
  1963     782.4       3.1       5.7     689.2     228.0     481.9    -178.6
  1964    1411.3       1.7       5.5     794.2     451.8     666.1      55.7
  1965    1022.5       1.3       5.6     788.0     361.6     767.0     177.8
  1966     918.8       2.4       5.8     701.6     206.9     582.8     -18.6
  1967    1081.0       2.6       5.9     725.8     335.1     533.7    -163.5
  1968    1044.1       2.6       5.8     835.4     202.3     723.9      74.2
  1969     749.8       2.2       5.9     655.0     219.4     523.3    -105.9
  1970    1188.7       1.8       5.9     779.0     251.1     666.8      89.7
  1971    1157.2       1.5       6.1     817.6     348.6     794.4     179.7
  1972    1302.3       2.2       6.5    1032.2     393.5     990.1     316.6
  1973     756.5       2.1       6.6     524.5      63.8     338.8    -244.8
  1974    1139.9       2.9       6.5     879.8     288.1     779.3     158.4
  1975    1033.8       0.7       6.4     882.9     257.7     714.7     112.8
  1976     720.0       3.5       6.4     674.6     142.5     582.9     -46.9
  1977     788.1       2.2       6.1     533.0       0.0     331.8    -163.7
  1978     922.3       2.0       5.7     802.8     280.6     739.9      78.3
  1979    1038.2       2.9       5.7     671.8     210.6     476.0    -134.0
  1980    1165.0       3.7       5.7     946.5     336.5     753.0      86.1
  1981     883.0       4.6       5.8     768.5     145.2     444.6    -204.5
  1982    1132.0       2.0       5.7     810.8     295.0     680.9      32.2
  1983     863.0       3.8       5.6     748.1     180.4     584.2     -39.5
  1984    1157.0       3.8       5.5     759.0     136.9     440.2    -241.2
  1985    1053.0       1.7       5.4     849.1     316.6     676.5     -42.9
  1986    1043.0       4.2       5.4     740.5     336.8     575.7     -70.3
  1987     800.0       4.6       5.6     773.1     171.5     715.8     136.2
  1988     911.0       4.2       5.6     658.1     120.5     502.2     -86.7
  1989    1378.0       2.6       5.7     997.1     311.2     776.2     139.6
  1990    1376.0       3.0       6.0     863.8     342.4     675.2     -19.0
  1991    1071.0       3.5       6.3     865.7     452.4     677.6       4.3
  1992     900.0       4.1       6.3     783.5     104.9     748.3     189.2
  1993    1024.0       2.2       6.5     985.3     103.2     852.9     282.0
  1994    1001.0       3.9       6.7     711.3     153.6     492.0    -115.9
  1995    1255.0       3.0       6.5    1021.2     238.1     630.0     -50.8
  1996    1352.0       1.7       6.3     839.7     357.2     678.4      18.8
  1997    1238.0       3.4       6.5    1153.8     383.0     962.2     285.1
  1998    1074.0       4.7       6.7     867.9      80.5     483.8    -165.9
  1999    1061.0       4.6       6.7     912.7     249.7     775.8     110.9
  2000     682.0       3.9       6.6     645.9     133.6     587.5     -27.9
  2001     779.0       4.6       6.4     655.3      43.4     430.9    -142.4
  2002    1143.0       2.4       6.1     916.1     303.8     755.0     132.4
  2003     697.0       4.0       5.9     566.6     108.3     406.4    -214.2
  2004    1162.4       4.2       5.7     932.3      88.0     786.3     107.5
  2005    1119.1       3.5       5.8     900.9     196.6     649.3    -113.8
  2006    1128.7       3.5       6.0     922.7     205.4     806.0      90.3
  2007    1137.2       3.5       6.3    1015.6     160.7     797.9     120.1
  2008    1146.1       3.5       6.6     979.8     142.9     772.3     115.4
  2009    1154.2       3.5       6.8    1055.8     138.5     668.6      21.3
  2010    1163.8       3.5       6.8     966.3     133.3     639.9      -4.5
  2011    1172.9       3.5       6.8    1072.3     159.1     757.9     101.9
  2012    1181.6       3.6       6.8    1073.6     109.5     795.5     168.0
  2013    1191.1       3.6       6.9    1012.5     160.0     698.3      71.3
  2014    1200.2       3.6       7.0    1033.6     170.8     812.1     176.6
  2015    1148.0       3.6       7.0     952.0     174.6     599.5      -0.1
  2016    1217.5       3.6       6.9    1080.9     213.1     715.1      81.2
  2017    1214.2       3.6       6.8    1036.7     121.9     710.6      37.0
  2018    1235.6       3.6       6.8    1011.6     196.5     759.4      81.3
  2019    1244.9       3.6       6.8    1017.1     241.3     714.5      45.6
  2020    1343.8       4.7       6.9    1169.5     203.4     769.6     125.0
