Annual summary output from Biome-BGC version 4.2
ann PRCP = annual total precipitation (mm/yr)
ann Tavg = annual average air temperature (deg C)
max LAI = annual maximum value of projected leaf area index (m2/m2)
ann ET = annual total evapotranspiration (mm/yr)
ann OF = annual total outflow (mm/yr)
ann NPP = annual total net primary production (gC/m2/yr)
ann NPB = annual total net biome production (gC/m2/yr)

  year  ann PRCP  ann Tavg   max LAI    ann ET    ann OF   ann NPP   ann NBP
  1950     394.0       6.2       2.8     386.5       0.0     293.3     -23.3
  1951     469.0       6.2       2.9     444.6       0.0     370.2      44.4
  1952     257.1       7.0       2.9     332.7       0.0     169.1    -129.2
  1953     341.6       8.6       2.8     337.3       0.0     207.6     -56.3
  1954     444.3       7.4       2.7     462.1       0.0     433.3     153.3
  1955     527.4       5.5       2.8     417.6       0.0     249.9     -19.7
  1956     520.6       6.8       2.9     602.3       0.0     486.7     110.4
  1957     353.1       7.2       3.0     355.0       0.0     169.3    -100.9
  1958     474.6       8.5       2.9     443.1       0.0     300.8       5.9
  1959     493.9       6.7       2.9     494.9       0.0     375.2      27.8
  1960     302.0       6.8       2.9     324.3       0.0     181.7    -108.5
  1961     481.8       7.7       2.8     442.9       0.0     334.3      28.3
  1962     386.5       6.7       2.8     439.2       0.0     349.8      35.3
  1963     445.4       6.9       2.9     438.9       0.0     370.2      84.9
  1964     536.9       6.0       3.0     480.7       0.0     381.2     104.7
  1965     477.4       7.0       3.3     561.4       0.0     543.4     216.5
  1966     594.1       8.3       3.4     477.4       0.0     253.9    -123.3
  1967     416.0       7.9       3.6     477.9       0.0     310.6     -48.0
  1968     478.0       7.1       3.5     492.1       0.0     439.8     142.6
  1969     415.7       7.2       3.6     439.3       0.0     294.4     -24.6
  1970     468.9       7.2       3.5     447.8       0.0     320.3       3.4
  1971     429.1       7.2       3.3     393.6       0.0     226.8     -77.2
  1972     443.1       6.5       3.2     474.6      11.9     456.4      73.7
  1973     280.7       7.5       3.0     231.9       0.0      94.3    -172.1
  1974     392.1       7.5       3.0     457.3       0.0     425.1      70.1
  1975     603.1       6.3       3.0     529.4       0.0     476.5     126.3
  1976     320.7       7.2       3.2     412.0       0.0     346.1      55.8
  1977     406.4       7.2       3.1     319.8       0.0     219.8     -40.9
  1978     416.4       6.4       3.1     457.8       0.0     434.5      94.7
  1979     312.3       6.8       3.2     336.7       0.0     215.3     -87.1
  1980     566.5       7.0       3.3     551.9       0.0     494.3     190.3
  1981     476.6       7.8       3.4     456.1       0.0     380.3      99.3
  1982     509.1       6.4       3.5     531.7       0.0     431.1      82.6
  1983     551.1       7.1       3.6     522.9       0.0     471.7     190.0
  1984     411.5       6.9       3.7     435.7       0.0     278.4     -29.4
  1985     413.9       5.8       3.5     423.9       0.0     326.2      26.1
  1986     452.4       7.7       3.5     452.0       0.0     410.7      94.7
  1987     291.1       8.1       3.4     302.4       0.0     118.5    -157.2
  1988     346.3       8.2       3.3     337.5       0.0     212.5     -82.4
  1989     431.0       7.0       2.9     430.2       0.0     429.4     113.6
  1990     435.1       7.5       3.0     413.7       0.0     323.4      25.3
  1991     395.9       7.4       3.0     384.4       0.0     304.1       4.4
  1992     387.3       8.2       3.0     407.5       0.0     395.0      92.2
  1993     484.9       6.1       3.1     497.5       0.0     467.7     162.3
  1994     372.9       8.5       3.3     371.5       0.0     201.5     -80.1
  1995     524.8       7.4       3.2     475.5       0.0     467.1     183.2
  1996     532.3       6.6       3.3     462.9       0.0     362.8      -5.7
  1997     456.9       7.3       3.5     551.6      40.3     482.5      93.3
  1998     619.3       8.8       3.7     567.6       0.0     392.5      89.4
  1999     387.4       8.3       3.7     424.7       0.0     350.2      42.1
  2000     364.8       7.7       3.6     356.3       0.0     229.1     -81.4
  2001     396.6       8.1       3.4     383.7       0.0     228.2     -90.3
  2002     363.5       7.3       3.2     406.0       0.0     327.8      23.6
  2003     432.3       8.6       3.1     396.2       0.0     265.2     -65.3
  2004     463.1       8.2       3.1     491.9       0.0     521.7     211.0
  2005     495.3       7.5       3.3     447.5       0.0     391.9     107.5
  2006     500.6       7.5       3.5     496.5       0.0     458.8     134.8
  2007     505.2       7.5       3.6     502.3       0.0     397.0      76.2
  2008     511.4       7.5       3.8     518.5       0.0     340.4      20.3
  2009     518.6       7.5       3.8     518.3       0.0     423.7      83.4
  2010     524.4       7.4       3.8     515.2       0.0     395.4      63.9
  2011     530.2       7.4       3.8     535.5       0.0     427.9      87.0
  2012     536.1       7.4       3.9     546.3       0.0     457.5     118.5
  2013     542.0       7.4       3.9     527.2       0.0     399.8      63.9
  2014     548.4       7.4       4.0     561.0       0.0     449.7     109.1
  2015     539.2       7.3       4.0     525.2       0.0     379.9      41.7
