Annual summary output from Biome-BGC version 4.2
ann PRCP = annual total precipitation (mm/yr)
ann Tavg = annual average air temperature (deg C)
max LAI = annual maximum value of projected leaf area index (m2/m2)
ann ET = annual total evapotranspiration (mm/yr)
ann OF = annual total outflow (mm/yr)
ann NPP = annual total net primary production (gC/m2/yr)
ann NPB = annual total net biome production (gC/m2/yr)

  year  ann PRCP  ann Tavg   max LAI    ann ET    ann OF   ann NPP   ann NBP
  1950    1035.6       5.8       4.6     718.1     198.5     448.1     -72.0
  1951    1001.3       6.0       4.6     710.2     238.3     453.7     -86.0
  1952     597.6       6.8       4.6     550.8     233.1     354.7    -135.3
  1953     809.3       7.6       4.6     727.8      81.3     557.8      65.1
  1954     868.0       6.4       4.5     701.7     168.3     599.9     112.7
  1955    1062.6       5.2       4.6     742.2     104.5     498.7       1.2
  1956     724.9       6.4       4.7     653.6     284.3     493.4     -20.1
  1957     806.3       6.4       4.7     673.0      84.6     456.0     -31.0
  1958     905.2       8.3       4.7     772.1     124.3     414.8     -85.0
  1959    1002.5       6.1       4.6     758.2     165.9     615.2      73.8
  1960     833.1       6.3       4.7     712.6     171.5     516.3      -9.0
  1961     928.8       7.3       4.8     725.8     168.3     402.1    -107.8
  1962     831.7       6.7       4.7     737.0     129.5     520.4      19.6
  1963     768.3       7.4       4.7     682.5     112.8     435.7     -54.3
  1964     861.5       6.1       4.6     641.2     134.9     583.0      90.1
  1965     659.4       6.8       4.6     604.1     183.0     480.8       8.9
  1966     874.1       7.4       4.7     660.5     124.4     420.4     -66.7
  1967     778.3       7.3       4.6     590.4     259.0     378.5    -141.1
  1968     974.1       6.3       4.4     733.8     127.3     621.1     117.5
  1969     760.9       6.5       4.6     654.1     251.7     531.3      25.8
  1970     820.4       6.6       4.6     590.2     154.6     416.3     -71.4
  1971     831.7       6.4       4.6     662.9     167.4     547.2      56.3
  1972     773.9       6.5       4.7     685.0     143.4     519.5      37.3
  1973     874.9       7.3       4.7     567.9      85.5     379.4    -134.5
  1974     992.2       7.5       4.6     714.3     408.7     472.2     -61.7
  1975     819.9       6.8       4.6     693.5     216.1     531.7      15.7
  1976     598.2       6.7       4.6     585.2      94.9     472.3      21.0
  1977     667.0       6.7       4.4     497.6       0.0     358.1     -24.1
  1978     712.6       7.1       4.5     740.9     124.4     726.6     202.4
  1979     694.4       7.0       4.6     582.8      26.4     331.7    -130.9
  1980     890.7       7.1       4.7     726.2     110.0     639.2     141.4
  1981     801.5       7.4       4.9     799.3      92.4     607.7      98.2
  1982     983.4       6.6       5.0     734.9     188.7     496.8      12.1
  1983    1002.7       7.2       5.0     838.3     152.5     619.1     122.1
  1984     826.7       5.6       5.1     638.0     111.6     436.1     -55.1
  1985     547.7       5.6       5.0     603.2     111.2     502.8      20.3
  1986     691.2       7.5       4.9     614.7      73.4     446.8     -44.8
  1987     669.4       7.9       4.8     617.7      16.0     387.0     -90.4
  1988     714.6       7.0       4.7     611.1      61.1     490.0       2.3
  1989     714.1       6.6       4.6     659.8     130.6     560.6      70.9
  1990     880.5       7.1       4.8     738.5     129.8     611.4      66.6
  1991     646.2       7.2       4.9     576.2      83.4     356.7    -124.3
  1992     711.7       7.8       4.8     641.1      11.3     550.9      94.5
  1993     668.6       5.9       4.8     665.6      56.6     637.2     187.3
  1994     713.0       7.4       4.8     594.5      12.9     331.6    -151.0
  1995     927.7       6.8       4.8     775.3     191.6     557.8      35.6
  1996    1199.6       5.8       4.8     801.9     150.5     626.2      83.0
  1997     886.1       6.6       5.0     838.1     379.9     694.0     136.3
  1998    1007.1       8.0       5.2     844.3      31.7     512.9      17.6
  1999     826.3       6.9       5.2     689.3     183.0     427.8     -65.8
  2000     720.6       6.3       5.1     657.9     149.0     456.4     -23.3
  2001     769.7       7.0       4.9     637.6       0.0     378.3     -62.3
  2002     680.7       6.7       4.7     600.8     155.9     447.4     -56.6
  2003     766.4       7.5       4.5     654.2     104.0     475.8     -26.0
  2004     742.9       7.5       4.6     750.6      47.3     741.7     252.4
  2005     730.4       6.7       4.8     710.3       2.7     536.7      76.5
  2006     741.7       6.7       5.0     665.5      30.8     526.7      58.6
  2007     752.2       6.8       5.0     678.8      67.3     533.0      54.2
  2008     764.7       6.8       5.0     666.4     102.9     471.5      -0.6
  2009     776.0       6.8       5.0     704.6      69.4     549.3      54.5
  2010     786.6       6.8       5.0     696.7      79.6     592.5      97.8
  2011     798.3       6.8       5.1     734.0      65.7     607.6     122.1
  2012     810.0       6.8       5.2     750.4      79.2     589.5     110.0
  2013     821.8       6.8       5.3     708.8      64.9     539.7      50.8
  2014     832.7       6.8       5.3     747.8      97.3     536.4      53.5
  2015     843.4       6.9       5.3     740.5      98.5     552.7      58.9
  2016     855.6       6.9       5.3     764.7     106.8     590.2     101.2
  2017     828.6       6.9       5.3     724.2      89.9     506.6       2.2
  2018     878.1       6.9       5.4     753.5     106.1     663.4     168.8
  2019     889.1       6.9       5.4     799.9     128.1     606.2      95.7
  2020    1014.6       8.1       5.5     867.4      97.9     643.5      94.6
  2021     930.3       8.3       5.7     933.7      99.1     624.0      77.3
  2022    1115.4       7.6       5.7     885.5     157.2     520.5     -12.5
  2023    1126.7       8.2       5.7     975.4     123.6     668.8     124.6
  2024     961.2       6.6       5.7     792.1     109.0     500.8     -52.7
  2025     642.9       6.6       5.6     664.5     140.9     545.0       2.0
  2026     775.0       8.5       5.5     720.0      56.4     481.9     -49.2
  2027     758.8       8.9       5.3     697.9      18.7     430.9     -73.3
  2028     817.5       8.0       5.2     731.6      41.5     572.8      34.6
  2029     806.3       7.6       5.1     748.1     146.1     603.2      70.7
  2030     974.4       8.1       5.3     844.1     113.8     638.8      81.9
  2031     731.0       8.1       5.3     667.6      76.7     420.9     -97.4
  2032     790.5       8.7       5.2     724.8       0.0     598.5     124.8
  2033     739.8       6.9       5.2     751.8      59.4     717.0     204.8
  2034     820.8       8.4       5.3     696.9       0.0     388.3    -124.5
  2035    1050.4       7.8       5.3     890.6     196.0     608.2      57.2
  2036    1394.6       6.8       5.3     957.2     155.6     705.5     125.7
  2037     983.7       7.6       5.5     939.7     421.4     738.2     152.5
  2038    1152.5       9.0       5.8    1022.5       3.9     566.6      58.0
  2039     953.2       7.9       5.7     823.4     170.7     496.7     -12.5
  2040     955.8       6.9       5.5     674.9     219.4     486.1     -39.8
  2041     960.8       6.9       5.3     718.1     274.0     555.1      -9.0
  2042     964.3       6.9       5.2     702.7     250.8     565.1       9.2
