Annual summary output from Biome-BGC version 4.2
ann PRCP = annual total precipitation (mm/yr)
ann Tavg = annual average air temperature (deg C)
max LAI = annual maximum value of projected leaf area index (m2/m2)
ann ET = annual total evapotranspiration (mm/yr)
ann OF = annual total outflow (mm/yr)
ann NPP = annual total net primary production (gC/m2/yr)
ann NPB = annual total net biome production (gC/m2/yr)

  year  ann PRCP  ann Tavg   max LAI    ann ET    ann OF   ann NPP   ann NBP
  1950     505.1       2.3       1.6     517.6       0.0     313.9      26.3
  1951     558.4       1.4       1.9     531.1       0.0     280.1      21.9
  1952     419.7       2.4       2.1     484.0       0.0     259.8      34.8
  1953     404.1       3.7       2.2     393.7       0.0     148.2     -77.0
  1954     462.4       2.6       2.2     459.8       0.0     207.2      -6.6
  1955     523.8       1.5       2.1     410.9       0.0     107.2     -97.4
  1956     350.4       1.7       2.0     449.9      13.5     221.8     -49.3
  1957     436.9       1.8       1.9     447.2       0.0     202.5      -3.0
  1958     428.1       3.0       1.8     411.0       0.0     165.9     -31.6
  1959     475.3       2.1       1.8     476.8       0.0     252.7      -8.4
  1960     399.1       2.1       1.8     402.5       0.0     184.6     -34.4
  1961     517.0       2.5       1.8     442.4       0.0     204.7      -6.9
  1962     536.8       2.3       2.0     601.9       3.4     373.5      85.7
  1963     540.0       3.1       2.3     532.8       0.0     325.0      70.5
  1964     485.9       1.1       2.4     402.5       0.0     137.6     -57.6
  1965     488.7       1.2       2.4     535.3      28.1     334.3      67.2
  1966     644.5       3.1       2.5     533.7      67.2     327.9      52.0
  1967     606.8       2.6       2.7     517.4     112.4     263.6      -3.4
  1968     603.1       2.0       2.7     594.5       0.0     352.5     126.8
  1969     373.6       2.8       2.8     423.0       0.0     202.5     -23.4
  1970     512.1       2.7       2.7     487.2       0.0     271.7      44.1
  1971     414.1       2.3       2.6     440.7       0.0     242.4       9.8
  1972     480.7       2.4       2.5     447.8       0.0     249.8      50.9
  1973     351.7       2.6       2.4     395.8       0.0     237.5      32.1
  1974     368.2       3.3       2.3     298.6       0.0     106.5     -97.7
  1975     604.9       1.8       2.2     535.8      98.9     278.0      10.5
  1976     408.3       2.7       2.2     381.7       0.0     230.8      -4.5
  1977     405.0       1.7       2.1     434.9       0.0     229.7      40.3
  1978     368.7       1.4       2.2     388.8       0.0     213.7      -9.8
  1979     346.4       1.7       2.1     368.7       0.0     188.9     -11.0
  1980     575.0       2.9       2.1     548.3       0.0     315.2      70.9
  1981     496.0       4.3       2.2     446.4       0.0     216.1     -20.7
  1982    1008.8       2.0       2.4     572.3     490.3     366.2      72.4
  1983     481.3       2.3       2.4     449.8       0.0     282.0      76.6
  1984     441.7       1.1       2.5     461.3       0.0     290.1      77.7
  1985     461.7       0.4       2.5     435.8       0.0     209.5      -1.2
  1986     470.0       2.4       2.5     499.2       0.0     289.7      39.8
  1987     390.2       2.4       2.6     420.9       0.0     240.3      45.0
  1988     312.7       2.4       2.5     300.0       0.0      33.1    -155.3
